time,gFx,gFy,gFz,
54:13.8,0.833,-0.468,-1.34,1.646
54:13.8,0.691,-0.566,-0.316,0.947
54:13.8,0.689,-0.45,-0.506,0.966
54:13.8,0.689,-0.45,-0.506,0.966
54:13.8,0.689,-0.45,-0.506,0.966
54:13.8,0.704,-0.448,-0.516,0.981
54:13.9,0.748,-0.393,-0.532,0.998
54:13.9,0.779,-0.409,-0.54,1.032
54:13.9,0.774,-0.391,-0.592,1.05
54:13.9,0.72,-0.381,-0.537,0.976
54:13.9,0.728,-0.395,-0.559,0.999
54:13.9,0.7,-0.416,-0.542,0.978
54:13.9,0.781,-0.456,-0.583,1.076
54:13.9,0.781,-0.456,-0.583,1.076
54:13.9,0.781,-0.456,-0.583,1.076
54:13.9,0.826,-0.434,-0.571,1.094
54:14.0,0.788,-0.458,-0.557,1.068
54:14.0,0.742,-0.465,-0.52,1.018
54:14.0,0.691,-0.45,-0.48,0.954
54:14.0,0.661,-0.431,-0.511,0.94
54:14.0,0.686,-0.378,-0.515,0.937
54:14.0,0.744,-0.36,-0.562,0.999
54:14.0,0.748,-0.379,-0.545,1
54:14.0,0.748,-0.379,-0.545,1
54:14.0,0.748,-0.379,-0.545,1
54:14.0,0.713,-0.406,-0.566,0.997
54:14.1,0.737,-0.426,-0.565,1.022
54:14.1,0.774,-0.424,-0.55,1.04
54:14.1,0.76,-0.4,-0.579,1.036
54:14.1,0.73,-0.378,-0.585,1.009
54:14.1,0.702,-0.371,-0.6,0.995
54:14.1,0.726,-0.382,-0.594,1.013
54:14.1,0.772,-0.405,-0.585,1.05
54:14.1,0.704,-0.429,-0.569,1.002
54:14.1,0.704,-0.429,-0.569,1.002
54:14.1,0.704,-0.429,-0.569,1.002
54:14.2,0.731,-0.395,-0.541,0.991
54:14.2,0.797,-0.448,-0.527,1.055
54:14.2,0.853,-0.448,-0.52,1.095
54:14.2,0.77,-0.369,-0.497,0.988
54:14.2,0.641,-0.406,-0.459,0.887
54:14.2,0.555,-0.502,-0.479,0.889
54:14.2,0.665,-0.426,-0.462,0.915
54:14.2,0.825,-0.357,-0.514,1.036
54:14.2,0.825,-0.357,-0.514,1.036
54:14.2,0.748,-0.467,-0.568,1.049
54:14.3,0.769,-0.545,-0.632,1.135
54:14.3,0.802,-0.599,-0.585,1.159
54:14.3,0.706,-0.553,-0.662,1.115
54:14.3,0.677,-0.555,-0.638,1.083
54:14.3,0.664,-0.486,-0.618,1.029
54:14.3,0.629,-0.435,-0.606,0.976
54:14.3,0.656,-0.439,-0.599,0.991
54:14.3,0.549,-0.317,-0.476,0.793
54:14.3,0.549,-0.317,-0.476,0.793
54:14.4,0.773,-0.423,-0.438,0.984
54:14.4,0.87,-0.465,-0.421,1.073
54:14.4,0.842,-0.461,-0.395,1.038
54:14.4,0.725,-0.39,-0.34,0.891
54:14.4,0.679,-0.357,-0.379,0.856
54:14.4,0.64,-0.431,-0.627,0.994
54:14.4,0.771,-0.558,-0.673,1.166
54:14.4,0.83,-0.438,-0.35,1.002
54:14.5,0.8,-0.53,-0.558,1.11
54:14.5,0.798,-0.52,-0.499,1.075
54:14.5,0.798,-0.52,-0.499,1.075
54:14.5,0.883,-0.654,-0.552,1.23
54:14.5,0.883,-0.654,-0.552,1.23
54:14.5,0.858,-0.585,-0.517,1.16
54:14.5,0.613,-0.416,-0.544,0.919
54:14.5,0.511,-0.425,-0.57,0.876
54:14.5,0.517,-0.446,-0.568,0.888
54:14.6,0.595,-0.396,-0.612,0.941
54:14.6,0.595,-0.396,-0.612,0.941
54:14.6,0.595,-0.396,-0.612,0.941
54:14.6,0.594,-0.388,-0.566,0.908
54:14.6,0.657,-0.429,-0.615,0.997
54:14.6,0.693,-0.518,-0.608,1.057
54:14.6,0.678,-0.543,-0.539,1.022
54:14.6,0.701,-0.538,-0.533,1.032
54:14.6,0.793,-0.576,-0.538,1.118
54:14.6,0.833,-0.588,-0.494,1.133
54:14.6,0.684,-0.464,-0.503,0.968
54:14.6,0.684,-0.464,-0.503,0.968
54:14.6,0.684,-0.464,-0.503,0.968
54:14.7,0.679,-0.471,-0.514,0.973
54:14.7,0.664,-0.46,-0.508,0.954
54:14.7,0.697,-0.459,-0.496,0.971
54:14.7,0.692,-0.447,-0.499,0.963
54:14.7,0.709,-0.446,-0.491,0.971
54:14.7,0.718,-0.47,-0.495,0.991
54:14.7,0.694,-0.473,-0.537,0.997
54:14.7,0.718,-0.445,-0.566,1.017
54:14.8,0.719,-0.48,-0.54,1.019
54:14.8,0.719,-0.48,-0.54,1.019
54:14.8,0.729,-0.499,-0.535,1.033
54:14.8,0.733,-0.483,-0.504,1.012
54:14.8,0.727,-0.478,-0.504,1.005
54:14.8,0.696,-0.465,-0.516,0.983
54:14.8,0.67,-0.463,-0.512,0.962
54:14.8,0.666,-0.468,-0.522,0.967
54:14.8,0.676,-0.461,-0.518,0.968
54:14.8,0.762,-0.518,-0.53,1.063
54:14.8,0.762,-0.518,-0.53,1.063
54:14.8,0.762,-0.518,-0.53,1.063
54:14.9,0.759,-0.517,-0.517,1.054
54:14.9,0.752,-0.505,-0.52,1.044
54:14.9,0.721,-0.498,-0.522,1.02
54:14.9,0.664,-0.496,-0.527,0.982
54:14.9,0.639,-0.495,-0.544,0.974
54:14.9,0.679,-0.473,-0.535,0.985
54:14.9,0.731,-0.456,-0.515,1.004
54:15.0,0.723,-0.46,-0.528,1.007
54:15.0,0.723,-0.46,-0.528,1.007
54:15.0,0.723,-0.46,-0.528,1.007
54:15.0,0.728,-0.463,-0.52,1.007
54:15.0,0.732,-0.47,-0.511,1.009
54:15.0,0.733,-0.49,-0.531,1.029
54:15.0,0.731,-0.488,-0.533,1.028
54:15.0,0.718,-0.476,-0.536,1.015
54:15.0,0.689,-0.462,-0.543,0.991
54:15.0,0.663,-0.461,-0.549,0.976
54:15.0,0.658,-0.454,-0.54,0.965
54:15.1,0.675,-0.471,-0.551,0.99
54:15.1,0.675,-0.471,-0.551,0.99
54:15.1,0.703,-0.479,-0.545,1.01
54:15.1,0.741,-0.492,-0.546,1.044
54:15.1,0.773,-0.505,-0.54,1.07
54:15.1,0.776,-0.506,-0.538,1.071
54:15.1,0.759,-0.529,-0.548,1.075
54:15.1,0.723,-0.544,-0.54,1.054
54:15.1,0.58,-0.463,-0.542,0.919
54:15.1,0.545,-0.436,-0.619,0.933
54:15.1,0.604,-0.454,-0.561,0.941
54:15.1,0.604,-0.454,-0.561,0.941
54:15.2,0.628,-0.447,-0.557,0.951
54:15.2,0.646,-0.433,-0.531,0.942
54:15.2,0.752,-0.437,-0.54,1.024
54:15.2,0.855,-0.518,-0.588,1.16
54:15.2,0.816,-0.638,-0.538,1.167
54:15.2,0.706,-0.572,-0.579,1.077
54:15.2,0.577,-0.51,-0.638,1
54:15.2,0.491,-0.503,-0.61,0.931
54:15.3,0.648,-0.556,-0.537,1.009
54:15.3,0.648,-0.556,-0.537,1.009
54:15.3,0.679,-0.466,-0.507,0.967
54:15.3,0.746,-0.447,-0.511,1.009
54:15.3,0.795,-0.555,-0.415,1.055
54:15.3,0.728,-0.539,-0.442,1.008
54:15.3,0.675,-0.536,-0.501,0.997
54:15.3,0.716,-0.598,-0.481,1.05
54:15.3,0.749,-0.606,-0.448,1.063
54:15.4,0.825,-0.639,-0.451,1.137
54:15.4,0.825,-0.639,-0.451,1.137
54:15.4,0.825,-0.639,-0.451,1.137
54:15.4,0.774,-0.59,-0.448,1.071
54:15.4,0.706,-0.506,-0.447,0.977
54:15.4,0.754,-0.526,-0.541,1.067
54:15.4,0.732,-0.497,-0.558,1.046
54:15.4,0.65,-0.478,-0.505,0.952
54:15.4,0.578,-0.455,-0.517,0.899
54:15.4,0.605,-0.424,-0.528,0.908
54:15.5,0.533,-0.491,-0.473,0.865
54:15.5,0.533,-0.491,-0.473,0.865
54:15.5,0.533,-0.491,-0.473,0.865
54:15.5,0.56,-0.536,-0.492,0.918
54:15.5,0.669,-0.615,-0.478,1.027
54:15.5,0.722,-0.65,-0.45,1.071
54:15.5,0.769,-0.647,-0.425,1.091
54:15.5,0.784,-0.639,-0.39,1.084
54:15.5,0.785,-0.631,-0.395,1.082
54:15.5,0.736,-0.58,-0.413,1.024
54:15.6,0.737,-0.64,-0.495,1.094
54:15.6,0.737,-0.64,-0.495,1.094
54:15.6,0.737,-0.64,-0.495,1.094
54:15.6,0.673,-0.599,-0.505,1.033
54:15.6,0.661,-0.573,-0.51,1.013
54:15.6,0.582,-0.56,-0.51,0.955
54:15.6,0.562,-0.525,-0.519,0.928
54:15.6,0.63,-0.585,-0.566,1.029
54:15.6,0.665,-0.623,-0.544,1.061
54:15.6,0.664,-0.584,-0.533,1.032
54:15.6,0.585,-0.511,-0.489,0.918
54:15.7,0.464,-0.552,-0.48,0.866
54:15.7,0.464,-0.552,-0.48,0.866
54:15.7,0.527,-0.631,-0.499,0.962
54:15.7,0.581,-0.709,-0.472,1.031
54:15.7,0.539,-0.708,-0.435,0.99
54:15.7,0.456,-0.608,-0.438,0.877
54:15.7,0.519,-0.622,-0.435,0.919
54:15.7,0.673,-0.685,-0.473,1.07
54:15.7,0.782,-0.718,-0.508,1.177
54:15.8,0.763,-0.678,-0.532,1.151
54:15.8,0.763,-0.678,-0.532,1.151
54:15.8,0.763,-0.678,-0.532,1.151
54:15.8,0.72,-0.616,-0.545,1.093
54:15.8,0.677,-0.606,-0.503,1.039
54:15.8,0.795,-0.643,-0.548,1.16
54:15.8,0.774,-0.564,-0.551,1.105
54:15.8,0.721,-0.521,-0.519,1.03
54:15.8,0.687,-0.441,-0.499,0.957
54:15.8,0.659,-0.414,-0.538,0.946
54:15.9,0.528,-0.54,-0.43,0.869
54:15.9,0.528,-0.54,-0.43,0.869
54:15.9,0.528,-0.54,-0.43,0.869
54:15.9,0.657,-0.482,-0.497,0.954
54:15.9,0.724,-0.451,-0.537,1.008
54:15.9,0.75,-0.557,-0.455,1.039
54:15.9,0.625,-0.602,-0.482,0.993
54:15.9,0.637,-0.587,-0.571,1.037
54:15.9,0.706,-0.606,-0.549,1.08
54:15.9,0.715,-0.557,-0.478,1.025
54:16.0,0.683,-0.449,-0.495,0.956
54:16.0,0.683,-0.449,-0.495,0.956
54:16.0,0.683,-0.449,-0.495,0.956
54:16.0,0.605,-0.458,-0.502,0.91
54:16.0,0.549,-0.443,-0.536,0.886
54:16.0,0.557,-0.466,-0.515,0.89
54:16.0,0.579,-0.469,-0.506,0.901
54:16.0,0.595,-0.454,-0.507,0.904
54:16.0,0.65,-0.472,-0.516,0.955
54:16.0,0.664,-0.526,-0.506,0.987
54:16.1,0.876,-0.515,-0.501,1.133
54:16.1,0.876,-0.515,-0.501,1.133
54:16.1,0.876,-0.515,-0.501,1.133
54:16.1,0.815,-0.445,-0.476,1.043
54:16.1,0.736,-0.471,-0.467,0.991
54:16.1,0.685,-0.525,-0.475,0.985
54:16.1,0.769,-0.56,-0.502,1.076
54:16.1,0.803,-0.529,-0.512,1.089
54:16.1,0.718,-0.488,-0.486,0.995
54:16.1,0.626,-0.427,-0.497,0.906
54:16.2,0.649,-0.356,-0.491,0.888
54:16.2,0.649,-0.356,-0.491,0.888
54:16.2,0.649,-0.356,-0.491,0.888
54:16.2,0.704,-0.429,-0.507,0.968
54:16.2,0.685,-0.464,-0.536,0.986
54:16.2,0.679,-0.509,-0.538,1.005
54:16.2,0.68,-0.559,-0.534,1.03
54:16.2,0.551,-0.5,-0.582,0.945
54:16.2,0.692,-0.582,-0.572,1.07
54:16.2,0.786,-0.667,-0.56,1.173
54:16.3,0.615,-0.558,-0.55,0.996
54:16.3,0.615,-0.558,-0.55,0.996
54:16.3,0.615,-0.558,-0.55,0.996
54:16.3,0.636,-0.58,-0.547,1.02
54:16.3,0.624,-0.605,-0.543,1.025
54:16.3,0.6,-0.626,-0.541,1.022
54:16.3,0.58,-0.641,-0.527,1.012
54:16.3,0.525,-0.655,-0.54,0.998
54:16.3,0.525,-0.657,-0.57,1.016
54:16.3,0.64,-0.662,-0.534,1.064
